acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
SLYPLAW,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1
SLYPGLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLYLSYH,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SLYLDGL,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1
SLYGSYL,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1
SLYGLWY,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SLYHHPY,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SLYYPPD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLYYPLG,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLYYDLW,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0
SLYYDDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLYDQAL,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLYDQGG,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SLYDLSY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDQQPD,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
SLDQQLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLDQWSQ,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLDQWSQ,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLDQWHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLDQASD,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
SLDQDHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDWWQP,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
