AIRPORT_ID	AIRPORT_NAME	AIRPORT_CITY	AIRPORT_STATE	AIRPORT_COUNTRY	ICAO	LCHG_DATE	RECORD_STATUS	Record_End
LA54	GILLIAM                                           	GILLIAM               	LA	  	 	06/02/1989	A	 
LA55	LAKE CHARLES MEMORIAL                             	LAKE CHARLES          	LA	  	 	08/28/2009	A	 
LA56	NAYLOR                                            	ROBSON                	LA	  	 	06/02/1989	A	 
LA57	KINDER AG SERVICE                                 	EUNICE                	LA	  	 	05/02/2013	A	 
LA58	PETER CREEK RANCH                                 	SPEARSVILLE           	LA	  	 	01/11/2013	I	 
LA59	THIBODAUX RGNL MEDICAL CENTER                     	THIBODAUX             	LA	  	 	08/28/2009	A	 
LA60	LIVE OAK LANDING STRIP                            	ABBEVILLE             	LA	  	 	08/28/2009	A	 
LA61	KENAN AIRSTRIP                                    	KAPLAN                	LA	  	 	10/03/1994	A	 
LA62	GRAND VIEW LODGE                                  	LAKE CHARLES          	LA	  	 	08/28/2009	A	 
LA63	TRAVIS                                            	BASTROP               	LA	  	 	08/31/1993	A	 
LA64	BAYOU BOEUF                                       	AMELIA                	LA	  	 	08/28/2009	A	 
LA65	ACADIAN MED CNTR A CAMPUS OF MRMC                 	EUNICE                	LA	  	 	07/26/2010	A	 
LA66	ARCO MORGAN CITY                                  	AMELIA                	LA	  	 	08/28/2009	A	 
LA67	ANGOLA AIRSTRIP                                   	ANGOLA                	LA	  	 	08/28/2009	A	 
LA68	ZAUNBRECHER STRIP                                 	IOTA                  	LA	  	 	08/28/2009	A	 
